Year_Month,Average_Followers
2008-01,1369
2008-02,562.625
2008-03,5780.75
2008-04,1244.666667
2008-05,543.75
2008-06,642.5
2008-07,1247.5
2008-08,550
2008-09,579.3333333
2008-10,394.5
2008-11,488.5
2008-12,350
2009-01,2979.6
2009-02,534.3333333
2009-03,491
2009-04,2151.4
2009-05,300
2009-06,537
2009-07,1041.5
2009-08,591.1666667
2009-09,325.5
2009-10,538.6666667
2009-11,3032.666667
2009-12,262
2010-01,336.3333333
2010-02,606.75
2010-03,2701.666667
2010-04,350.6666667
2010-05,1049
2010-06,501.6666667
2010-07,775.5
2010-09,306
2010-10,334.4444444
2010-11,711.75
2010-12,559.375
2011-01,810.5
2011-02,386.3333333
2011-03,386.2857143
2011-04,376.25
2011-05,1778.916667
2011-06,545.2222222
2011-07,597.25
2011-08,677.8571429
2011-09,321.6
2011-10,1052.75
2011-11,398
2011-12,423.2
2012-01,443.8333333
2012-02,678.5
2012-03,1869.666667
2012-04,280.5
2012-05,316.4
2012-06,485.2
2012-07,460.375
2012-08,623.1818182
2012-09,416
2012-10,544.125
2012-11,611.7142857
2012-12,980
2013-01,2444.125
2013-02,638.3333333
2013-03,677.625
2013-04,336.3333333
2013-05,382.4
2013-06,315.2
2013-07,476.3333333
2013-08,511.6
2013-09,772
2013-10,917
2013-11,536.6666667
2013-12,731.6666667
2014-01,875.4285714
2014-02,803.75
2014-03,1252.4
2014-04,317.3333333
2014-05,303
2014-06,450
2014-07,1692.25
2014-08,273
2014-09,728
2014-10,561
2014-11,321
2014-12,1133.75
2015-01,320.8
2015-02,261.5
2015-03,464.5
2015-04,541.8
2015-05,339.5
2015-06,712.3333333
2015-07,376.25
2015-08,370.5
2015-09,333
2015-10,268
2015-11,393.5714286
2016-01,584.5
2016-02,401
2016-03,280
2016-04,309.5
2016-05,260
2016-07,330.75
2016-08,370
2016-10,789
2016-11,284
2017-01,210
2017-02,420
2017-03,463
2017-05,260
2017-06,326
2017-08,2576.5
2017-11,1597
2018-01,478
2018-03,285
2018-04,2737
2018-07,309
2018-08,306
2018-10,587
2018-11,460
2019-01,330
2019-02,611
2019-03,665.5
2019-06,431
2020-01,433
2020-03,413.5
2020-04,2166
2020-08,201
2020-09,262
2020-12,344
2021-01,327
2021-06,333
